Designator,Mid X,Mid Y,Rotation,Layer
BT+,87.975,-53.525,180.0,top
BT-,87.975,-56.875,180.0,top
D1,114.4,-58.0,0.0,top
D10,171.5,-58.7,0.0,top
D11,190.6,-63.3,0.0,top
D12,221.8,-64.9,0.0,top
D13,114.4,-96.0,0.0,top
D14,134.3,-93.8,0.0,top
D15,152.5,-92.3,0.0,top
D16,171.5,-93.6,0.0,top
D17,190.6,-98.3,0.0,top
D18,221.8,-99.9,0.0,top
D19,114.4,-99.1,0.0,top
D2,134.3,-55.7,0.0,top
D20,135.3,-96.8,0.0,top
D21,152.5,-95.4,0.0,top
D22,171.5,-96.8,0.0,top
D23,190.6,-101.5,0.0,top
D24,221.9,-103.1,0.0,top
D25,105.6,-89.5,0.0,top
D26,109.8,-119.3,300.0,top
D27,123.9,-118.0,0.0,top
D28,142.9,-115.8,0.0,top
D29,162.0,-115.8,0.0,top
D3,152.5,-54.2,0.0,top
D4,171.5,-55.6,0.0,top
D5,190.6,-60.4,0.0,top
D6,221.8,-61.8,0.0,top
D7,114.4,-61.1,0.0,top
D8,135.3,-58.7,0.0,top
D9,152.6,-57.4,0.0,top
Display1,100.395,-73.775,0.0,top
JP1,104.3,-69.30038,90.0,top
JP2,101.7,-69.30038,90.0,top
JP3,99.2,-69.30038,90.0,top
JP4,96.7,-69.27538,90.0,top
JP5,104.3,-69.30038,90.0,bottom
JP6,101.7,-69.30038,90.0,bottom
JP7,99.2,-69.30038,90.0,bottom
JP8,96.7,-69.27538,90.0,bottom
PWSW1,83.382,-44.275,180.0,bottom
PWSW2,83.382,-44.225,0.0,top
RSW1,84.95,-67.7,90.0,top
SW1,120.5,-50.0,0.0,top
SW10,177.6,-66.6,0.0,top
SW11,196.7,-71.3,0.0,top
SW12,215.7,-72.8,0.0,top
SW13,120.5,-88.1,0.0,top
SW14,139.5,-85.7,0.0,top
SW15,158.6,-84.4,0.0,top
SW16,177.6,-85.7,0.0,top
SW17,196.7,-90.5,0.0,top
SW18,215.7,-92.0,0.0,top
SW19,120.5,-107.1,0.0,top
SW2,139.5,-47.6,0.0,top
SW20,139.5,-104.8,0.0,top
SW21,158.6,-103.4,0.0,top
SW22,177.6,-104.8,0.0,top
SW23,196.7,-109.5,0.0,top
SW24,215.75,-111.0,0.0,top
SW25,101.4,-97.5,0.0,top
SW26,105.0,-127.0,300.0,top
SW27,130.0,-126.0,0.0,top
SW28,149.0,-123.75,0.0,top
SW29,168.1,-123.75,0.0,top
SW3,158.6,-46.21,0.0,top
SW4,177.6,-47.6,0.0,top
SW5,196.7,-52.4,0.0,top
SW6,215.7,-53.9,0.0,top
SW7,120.5,-69.1,0.0,top
SW8,139.5,-66.7,0.0,top
SW9,158.6,-65.3,0.0,top
TH1,86.0,-85.0,0.0,top
TH2,108.0,-85.0,0.0,top
TH3,129.6,-59.6,0.0,top
TH4,205.8,-61.8,0.0,top
TH5,129.6,-97.6,0.0,top
TH6,205.8,-100.0,0.0,top
TH7,105.0,-114.8,90.0,top
U1,100.449407,-54.527872,0.0,top
